RAD_Results_from_Floragenex,Batch,PLATE_no,Row_no,Inst.,Extraction_Tube_no,Species,Collector_no,Wild_Garden_Collected,Original_Source_Information,Vouchers,MOR_Herbarium_Accession_Number,Notes,Voucher_Image,Photo_1,Photo_2,City,County,State_Province,Country,Lat,Long,Georeference_Source,Cronn_CP,AFLP,Section,Floragenex Library Name,SEQUENCED ON,SEQUENCING DETAILS
YES,1,1,D7,MOR,OAK-MOR-222,Quercus mohriana,IL-SH-036,Starhill Forest Arboretum,"Turrell Co., TX, USA",MOR,175276,,http://quercus.lifedesks.org/node/974,http://quercus.lifedesks.org/node/632,http://quercus.lifedesks.org/node/633,,Turrell,Texas,USA,30.23361,-102.178456,"Google Earth to Terrell Co., Tx",NO,YES,Quercus L.,,,
YES,1,1,E7,MOR,OAK-MOR-360,Quercus mongolica,IL-MOR-MH106,The Morton Arboretum,"collected by: North America-China Plant Exploration Consortium (NACPEC) 1994 B;  at Yunmeng Shan (Dense Cloud Mountain), Wuling Shan Preserve in Miyun County Beijing Shi China. (40.58, 116.7375, 1045 m)","MOR, UMN(2), DUKE, ND, MX",174518,,,http://quercus.lifedesks.org/node/481,,,Miyun,Beijing Shi,China,40.58,116.7375,GPS in provenance info,YES,YES,Quercus L.,,,
YES,1,1,F7,MOR,OAK-MOR-352,Quercus montana,IL-MOR-MH007,The Morton Arboretum,"Collected by: Midwest Plant Collecting Collaborative (MWPCC) 2000 southeast Un;  on Cahas Mt. in Franklin County Virginia U.S.A. (37.141444, -79.995722 )","MOR, UMN(2), DUKE, ND, MX",174846,,,http://quercus.lifedesks.org/node/489,,,Franklin,Virginia,USA,37.141444,-79.995722,GPS in provenance info,YES,YES,Quercus L.,,,
YES,1,1,G7,MOR,OAK-MOR-383,Quercus muehlenbergii,IL-MOR-MH103,The Morton Arboretum,"collected by: Connor B. Shaw, Possibility Place Nursery, Inc.;  in campground north of the Kankakee River under spont. plants 1/2 mile west of the Kankakee Co. line in Will County Illinois U.S.A.","MOR, UMN, DUKE, ND",174533,,,http://quercus.lifedesks.org/node/409,http://quercus.lifedesks.org/node/405,,Will,Illinois,USA,41.210569,-88.017575,"Google earth to Will County IL, north of River and ~1/2 mile west of Kankakee Co line",YES,YES,Quercus L.,,,
YES,1,1,H7,MOR,OAK-MOR-490,"Quercus nuttallii 'New Madrid' = Quercus texana 'New Madrid""",IL-SH-112,Starhill Forest Arboretum,"Collected by Guy Sternberg, north bound I55 rest area mile 42 in New Madrid, MO.; this is seed-group cultivar, with seedlings being uniform in the characteristics for which it was selected. ",MOR,175242,,http://quercus.lifedesks.org/node/1009,,,New Madrid,,Missouri,USA,36.537856,-89.594182,"Google Earth of New Madrid, MO, along I55",NO,YES,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,A8,MOR,OAK-MOR-417,Quercus oblongifolia,AZ-HU-21,Wild collected,"Arizona, USA; Huachuca Mountains - National Memorial","MOR, DUKE, ND",174235,,,,,,,Arizona,USA,31.3491335,-109.2431153,GPS,NO,YES,Quercus L.,,,
YES,1,1,B8,MOR,OAK-MOR-398,Quercus oblongifolia,CA-DAV-MH040,UC Davis Arboretum,"Arizona: Pima County: Santa Catalina Mts. 4500 ft. J. T.
Marshall s.n. 15 Nov 1963.","MOR, UMN, DUKE, ND",174698,,,,,,Pima,Arizona,USA,32.424484,-110.70691,Google earth to santa catalina Mountains,NO,NO,Quercus L.,,,
YES,1,1,C8,MOR,OAK-MOR-470,Quercus pacifica,QUPA108,Wild collected,silia-dried leaves received from Janet Backs; QUPA108 (shrub) Santa Rosa,n/a,photo voucher,,http://quercus.lifedesks.org/node/989,,,,,California,USA,33.98254735,-120.0735741,GPS,NO,YES,Quercus L.,,,
YES,1,1,D8,MOR,OAK-MOR-354,Quercus pagoda,IL-MOR-MH002,The Morton Arboretum,collected by: Charles C. Deam;   in Posey County Indiana U.S.A.,"(2A): MOR;                                                (2B): MOR, UMN(2), DUKE, ND, MX","2A: 174528 (flower, imm.leaves);  2B: 174511 (mature leaves)",Collected leaves for DNA at same time as collected 2A (in flower); returned to collect 2B for mature leaves; labeled/tagged tree,,http://quercus.lifedesks.org/node/985,,,Posey,Indiana,USA,38.000455,-87.894178,"Google Earth to Posey County, Indiana",NO,YES,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,E8,MOR,OAK-MOR-135,Quercus palmeri,CA-DAV-MH023,UC Davis Arboretum,"Rancho Santa Ana Botanical Garden: Seed from plant in cultivation. Original collection info United States: CA: Riverside County: Original Coll. Vandeventer Flats, near entrance to Santa Rosa Indian Reservation, S. E. end of San Jacinto Mts. 4600 ft. Habitat: South-Oak Woodland in openslopes and among trees. P. E. Everett & E. K. Balls s.n. 18 Nov 1952.","MOR, UMN, DUKE, ND",174588,,http://quercus.lifedesks.org/node/991,,,,Riverside,California,USA,NA,NA,NA,NO,YES,Protobalanus (Trelease) A.Camus,,,
YES,1,1,F8,MOR,OAK-MOR-358,Quercus palustris,IL-MOR-MH004,The Morton Arboretum,"collected by: Raymond F. Schulenberg, The Morton Arboretum;  from island in the Mississippi River  in Henderson County Illinois U.S.A.","MOR, UMN(2), DUKE, ND, MX",174523,,http://quercus.lifedesks.org/node/984,http://quercus.lifedesks.org/node/498,,,Henderson,Illinois,USA,40.842163,-91.080078,"Google Earth to Mississippi river in Henderson Co., IL",NO,YES,Lobatae G.Don in J.C.Loudon,,,
YES,1,1,G8,MOR,OAK-MOR-351,Quercus polycarpa = Quercus petraea ssp. iberica,IL-MOR-MH009,The Morton Arboretum,"collected in Jesenicke podhuri Mts. at Lhotka village, near Hranice na Morave  in Prerov District North Moravia Czech Republic. (300 m)","MOR, UMN(2), DUKE, ND, MX",174515,,,,,,,,Czech Republic,49.779633,18.485583,Google Earth to Hranice in Prerov District.,NO,YES,Quercus L.,,,
YES,1,1,H8,MOR,OAK-MOR-173,Quercus polymorpha,IL-SH-084,Starhill Forest Arboretum,"Monterrey Area; N.L., Mex. Daniel Zambrans; 96 (97)","MOR-""Oak street"" - photo voucher",,,http://quercus.lifedesks.org/node/924,,,,,Nuevo León,Mexico,25.677806,-100.808778,"Google earth to Nuevo Leon, Mx. Monterrey",NO,NO,Quercus L.,,,
YES,1,1,A9,MOR,OAK-MOR-174,Quercus polymorpha,IL-SH-085,Starhill Forest Arboretum,Dolan Falls; Valverde Co.; TX,"MOR-""Oak street"" - photo voucher",,,http://quercus.lifedesks.org/node/917,,,,Valverde,Texas,USA,29.883333,-101,"Google search for Dolan Falls, Texas.",NO,YES,Quercus L.,,,
YES,1,1,B9,MOR,OAK-MOR-199,Quercus pontica,IL-SH-167,Starhill Forest Arboretum,"Hayrettin Karaca; Artvin, Turkey",MOR-photo voucher,176071,Falling out strangely; see photo- maybe misidentified?; we do NOT have another option for this species….,http://quercus.lifedesks.org/node/566,,,Artvin,,,Turkey,41.18277,41.81829,"Google earth to Artvin, Turkey",NO,YES,Quercus L.,,,
YES,1,1,C9,MOR,OAK-MOR-496,Quercus pubescens,IL-SH-041,Starhill Forest Arboretum,"Lure Mtn. N Slope; 100 K N. of Marseille, France","MOR, MN, DUKE",175275,,,http://quercus.lifedesks.org/node/660,http://quercus.lifedesks.org/node/661,Marseille,,,France,44.117383,5.773676,"Google Earth~100 km of Marseille, France. + google search for Lure Mountains ",NO,YES,Quercus L.,,,
YES,1,1,D9,MOR,OAK-MOR-395,Quercus pungens,CA-DAV-MH041,UC Davis Arboretum,"Pine Spring: Culberson County: Texas: 5700 ft. D. Cavagnaro
181. 10 Oct 1963.","MOR, UMN, DUKE, ND",174708,,,,,,Culberson,Texas,USA,31.893,-104.816,"Google search for Pine Springs, in Culberson County, TX",NO,YES,Quercus L.,,,
YES,1,1,E9,MOR,OAK-MOR-392,Quercus robur,IL-MOR-MH084,The Morton Arboretum,"collected by: Peter J. van der Linden, The Morton Arboretum;  in the Main Botanical Garden of the Russian Academy of Sciences in Moscow in Russia.","MOR, UMN(2), DUKE, ND, MX",174567,,,http://quercus.lifedesks.org/node/503,http://quercus.lifedesks.org/node/502,,,,,55.838647,37.600483,Google Earth Moscow Botanical Garden of Academy of Sciences,YES,YES,Quercus L.,,,
YES,1,1,F9,MOR,OAK-MOR-419,Quercus shumardii,IL-MOR-MH090,The Morton Arboretum,"collected by: Peter J. van der Linden, The Morton Arboretum;  at overlook along state highway 76 near Branson in Henning State Forest in Taney County Missouri U.S.A.. (36.656944, -93.294722)","MOR, UMN(2), DUKE, ND, MX",174507,,,,,,Taney,Missouri,USA,36.656944,-93.294722,GPS in provenance info,NO,YES,Lobatae G.Don in J.C.Loudon,,,
